from,to,donation,weight
Albert Gwinner,Gesamt 2019,14,1
Albert Gwinner,Gesamt 2017,12,1
Alexander Noll,Gesamt 2016,10,1
Alexander Raue,Gesamt 2019,10,1
Alexander Sellentin,Gesamt 2014,11,1
Alexander Werling,Gesamt 2020,10,1
Alexander Wiesner,Gesamt 2020,16,1
Andre Barth,Gesamt 2019,14,1
Andre Barth,Gesamt 2017,14,1
Andre Poggenburg,Gesamt 2017,11,1
Andre Wendt,Gesamt 2019,11,1
Andreas Bleck,Gesamt 2019,16,1
Andreas Bleck,Gesamt 2020,17,1
Andreas Keith Volkmer,Gesamt 2019,11,1
Andreas Keith Volkmer,Gesamt 2020,10,1
Andreas Mrosek,Gesamt 2019,10,1
Andreas Mrosek,Gesamt 2020,11,1
Andreas Uhlig,Gesamt 2019,15,1
Andreas Winhart,Gesamt 2019,11,1
Anna Engel,Gesamt 2020,496,3
Armin Paulus Hampel,Gesamt 2019,11,1
Arno Enners,Gesamt 2020,10,1
Beatrix von Storch,Gesamt 2019,11,1
Beatrix von Storch,Gesamt 2018,11,1
Beatrix von Storch,Gesamt 2020,11,1
Berengar Elsner von Gronow,Gesamt 2019,12,1
Berengar Elsner von Gronow,Gesamt 2020,12,1
Bernd Goegel,Gesamt 2019,14,1
Bernd Goegel,Gesamt 2018,13,1
Bernd Goegel,Gesamt 2020,28,1
Bert Obereiner,Gesamt 2019,11,1
Christian Duus,Gesamt 2013,11,1
Christian Klingen,Gesamt 2020,12,1
Christian Krawinkel,Gesamt 2020,100,2
Christian Ullrich Henkel,Gesamt 2019,15,1
Christian Ullrich Henkel,Gesamt 2020,13,1
Christoph Maier,Gesamt 2019,12,1
Christoph Maier,Gesamt 2020,11,1
Christoph Neumann,Gesamt 2019,26,1
Christoph Neumann,Gesamt 2018,25,1
Christoph Neumann,Gesamt 2020,27,1
Constantin Sandritter,Gesamt 2017,20,1
Corinna Miazga,Gesamt 2018,11,1
Damian Lohr,Gesamt 2020,10,1
Dana Guth,Gesamt 2019,11,1
Daniel Roi,Gesamt 2019,10,1
Daniel Roi,Gesamt 2017,10,1
Daniel Roi,Gesamt 2020,10,1
Detlev Spangenberg,Gesamt 2019,16,1
Detlev Spangenberg,Gesamt 2017,27,1
Detlev Spangenberg,Gesamt 2020,12,1
Dienstleistungsgesellschaft Raisdorf mbH,Gesamt 2015,20,1
Dieter Wieser,Gesamt 2015,11,1
Dietmar Friedhof,Gesamt 2019,16,1
Dirk Zobel,Gesamt 2017,16,1
Dr Alice Weidel,Gesamt 2018,11,1
Dr Alice Weidel,Gesamt 2020,11,1
Dr Anne Elisabeth Cyron,Gesamt 2020,14,1
Dr Anton Friesen,Gesamt 2019,12,1
Dr Bernd Baumann,Gesamt 2019,12,1
Dr Bernd Grimmer,Gesamt 2020,21,1
Dr Bruno Hollnagel,Gesamt 2018,11,1
Dr Bruno Hollnagel,Gesamt 2019,10,1
Dr Carsten Albers,Gesamt 2013,13,1
Dr Carsten Albers,Gesamt 2014,14,1
Dr Christoph Schenk,Gesamt 2018,45,1
Dr Christoph Schenk,Gesamt 2019,20,1
Dr Christoph Schenk,Gesamt 2016,45,1
Dr Christoph Schenk,Gesamt 2020,25,1
Dr Dirk Spaniel,Gesamt 2020,10,1
Dr Folkard Edler,Gesamt 2013,50,1
Dr Folkard Edler,Gesamt 2015,14,1
Dr Heiko Hessenkemper,Gesamt 2019,12,1
Dr Heiko Wildberg,Gesamt 2019,12,1
Dr Heiko Wildberg,Gesamt 2018,11,1
Dr Jan Bollinger,Gesamt 2019,12,1
Dr Jan Bollinger,Gesamt 2020,16,1
Dr Joachim Fechner,Gesamt 2019,19,1
Dr Joachim Fechner,Gesamt 2016,13,1
Dr Klaus Nordmann,Gesamt 2014,49,1
Dr Klaus Nordmann,Gesamt 2016,50,2
Dr Klaus Nordmann,Gesamt 2015,59,2
Dr Klaus Nordmann,Gesamt 2017,42,1
Dr Kristin Brinker,Gesamt 2020,14,1
Dr Marc Jongen,Gesamt 2019,11,1
Dr Marianne Zubrzycki Lederhausen,Gesamt 2016,101,2
Dr Michael Espendiller,Gesamt 2019,12,1
